 	C1	C2	C3	C4	C5	C6	C7	C8	E1	E2	E3	
T1	0	0	0	0	0	1	0	0	0	0	1
T2	0	0	0	0	0	1	0	1	0	0	1
T3	0	0	0	0	0	1	1	0	0	0	1
T4	0	0	0	0	0	1	1	1	0	0	1
T5	0	0	0	0	1	0	0	0	0	0	1
T6	0	0	0	0	1	0	0	1	0	0	1
T7	0	0	0	0	1	0	1	0	0	0	1
T8	0	0	0	0	1	0	1	1	0	1	0
T9	0	0	0	1	0	0	0	0	0	0	1
T10	0	0	0	1	0	0	0	1	1	0	0
T11	0	0	0	1	0	0	1	0	0	0	1
T12	0	0	0	1	0	0	1	1	0	1	0
T13	0	0	1	0	0	0	0	0	1	0	0
T14	0	0	1	0	0	0	0	1	1	0	0
T15	0	0	1	0	0	0	1	0	0	0	1
T16	0	0	1	0	0	0	1	1	0	1	0
T17	0	1	0	0	0	1	0	0	0	0	1
T18	0	1	0	0	0	1	0	1	0	0	1
T19	0	1	0	0	0	1	1	0	0	0	1
T20	0	1	0	0	0	1	1	1	0	0	1
T21	0	1	0	0	1	0	0	0	0	0	1
T22	0	1	0	0	1	0	0	1	0	0	1
T23	0	1	0	0	1	0	1	0	0	0	1
T24	0	1	0	0	1	0	1	1	0	1	0
T25	0	1	0	1	0	0	0	0	0	0	1
T26	0	1	0	1	0	0	0	1	0	0	1
T27	0	1	0	1	0	0	1	0	0	0	1
T28	0	1	0	1	0	0	1	1	0	1	0
T29	0	1	1	0	0	0	0	0	0	0	1
T30	0	1	1	0	0	0	0	1	0	0	1
T31	0	1	1	0	0	0	1	0	0	0	1
T32	0	1	1	0	0	0	1	1	0	1	0
T33	1	0	0	0	0	1	0	0	0	0	1
T34	1	0	0	0	0	1	0	1	0	0	1
T35	1	0	0	0	0	1	1	0	0	0	1
T36	1	0	0	0	0	1	1	1	1	0	0
T37	1	0	0	0	1	0	0	0	0	0	1
T38	1	0	0	0	1	0	0	1	0	0	1
T39	1	0	0	0	1	0	1	0	0	0	1
T40	1	0	0	0	1	0	1	1	1	0	0
T41	1	0	0	1	0	0	0	0	0	0	1
T42	1	0	0	1	0	0	0	1	0	1	0
T43	1	0	0	1	0	0	1	0	1	0	0
T44	1	0	0	1	0	0	1	1	1	0	0
T45	1	0	1	0	0	0	0	0	0	0	1
T46	1	0	1	0	0	0	0	1	0	1	0
T47	1	0	1	0	0	0	1	0	1	0	0
T48	1	0	1	0	0	0	1	1	1	0	0
T49	1	1	0	0	0	1	0	0	0	0	1
T50	1	1	0	0	0	1	0	1	0	0	1
T51	1	1	0	0	0	1	1	0	0	0	1
T52	1	1	0	0	0	1	1	1	1	0	0
T53	1	1	0	0	1	0	0	0	0	0	1
T54	1	1	0	0	1	0	0	1	0	0	1
T55	1	1	0	0	1	0	1	0	0	0	1
T56	1	1	0	0	1	0	1	1	1	0	0
T57	1	1	0	1	0	0	0	0	0	0	1
T58	1	1	0	1	0	0	0	1	0	0	1
T59	1	1	0	1	0	0	1	0	0	0	1
T60	1	1	0	1	0	0	1	1	1	0	0
T61	1	1	1	0	0	0	0	0	0	0	1
T62	1	1	1	0	0	0	0	1	0	0	1
T63	1	1	1	0	0	0	1	0	0	0	1
T64	1	1	1	0	0	0	1	1	1	0	0
